"ensembl_gene_id"	"symbol"	"chromosome_name"	"start_position"	"end_position"
"69"	"ENSMUSG00000100677"	"Gm21184"	"Y"	34442179	34442871
"70"	"ENSMUSG00000100171"	"Gm21201"	"Y"	34517079	34517771
"71"	"ENSMUSG00000101374"	"Gm28844"	"Y"	71330738	71341069
"72"	"ENSMUSG00000101255"	"Gm21841"	"Y"	71375583	71376278
"73"	"ENSMUSG00000099463"	"Gm29081"	"Y"	34625479	34628719
"74"	"ENSMUSG00000100745"	"Gm29077"	"Y"	34660686	34664033
"75"	"ENSMUSG00000101341"	"Gm29076"	"Y"	34669893	34670589
"76"	"ENSMUSG00000100193"	"Gm29079"	"Y"	34706715	34707329
"77"	"ENSMUSG00000099651"	"Gm29078"	"Y"	34718477	34720020
"78"	"ENSMUSG00000101787"	"Gm20853"	"Y"	34736471	34737163
"79"	"ENSMUSG00000101043"	"Gm29075"	"Y"	34811137	34811832
"80"	"ENSMUSG00000100535"	"Gm20870"	"Y"	71703312	71729495
"81"	"ENSMUSG00000099390"	"Gm29225"	"Y"	34919203	34922440
"82"	"ENSMUSG00000099738"	"Gm28483"	"Y"	71791138	71791833
"83"	"ENSMUSG00000100422"	"Gm29226"	"Y"	34954443	34957786
"84"	"ENSMUSG00000101988"	"Gm28484"	"Y"	71828169	71828480
"85"	"ENSMUSG00000100385"	"Gm29227"	"Y"	34959198	34959512
"86"	"ENSMUSG00000101336"	"Gm28480"	"Y"	71975876	71976328
"87"	"ENSMUSG00000101593"	"Gm20842"	"Y"	72050266	72050961
"88"	"ENSMUSG00000099733"	"Gm21880"	"Y"	72114660	72115355
"89"	"ENSMUSG00000101626"	"Gm29386"	"Y"	35146091	35149331
"90"	"ENSMUSG00000101091"	"Gm29384"	"Y"	35181234	35184581
"91"	"ENSMUSG00000100229"	"Gm21896"	"Y"	35190684	35191379
"92"	"ENSMUSG00000101691"	"Gm29280"	"Y"	35227068	35227682
"93"	"ENSMUSG00000100540"	"Gm20799"	"Y"	35256599	35257294
"94"	"ENSMUSG00000100244"	"Gm29279"	"Y"	35305688	35306383
"95"	"ENSMUSG00000100694"	"Gm29182"	"Y"	72283195	72286433
"96"	"ENSMUSG00000099799"	"Gm28260"	"Y"	35413791	35417030
"97"	"ENSMUSG00000099999"	"Gm21795"	"Y"	35458410	35459105
"98"	"ENSMUSG00000101844"	"Gm20844"	"Y"	72393863	72394516
"99"	"ENSMUSG00000101806"	"Gm28261"	"Y"	35495302	35495916
"100"	"ENSMUSG00000101632"	"Gm28264"	"Y"	35507028	35508611
"101"	"ENSMUSG00000099525"	"Gm21872"	"Y"	35524827	35525504
"102"	"ENSMUSG00000100749"	"Gm20798"	"Y"	35599518	35600213
"103"	"ENSMUSG00000099963"	"Gm28463"	"Y"	35717131	35720360
"104"	"ENSMUSG00000101857"	"Gm21757"	"Y"	72461052	72461747
"105"	"ENSMUSG00000101836"	"Gm28968"	"Y"	72646481	72647176
"106"	"ENSMUSG00000102008"	"Gm28495"	"Y"	72683478	72683792
"107"	"ENSMUSG00000100869"	"Gm20846"	"Y"	72830907	72831599
"108"	"ENSMUSG00000101277"	"Gm20847"	"Y"	72905796	72906473
"109"	"ENSMUSG00000099371"	"Gm20848"	"Y"	72979301	72979978
"110"	"ENSMUSG00000100359"	"Gm21766"	"Y"	73045713	73046408
"111"	"ENSMUSG00000099495"	"Gm20800"	"Y"	73250481	73251173
"112"	"ENSMUSG00000101747"	"Gm21683"	"Y"	73325104	73325781
"113"	"ENSMUSG00000100263"	"Gm28468"	"Y"	36017393	36018007
"114"	"ENSMUSG00000101575"	"Gm20898"	"Y"	36046936	36047628
"115"	"ENSMUSG00000101715"	"Gm21855"	"Y"	73394553	73395248
"116"	"ENSMUSG00000100785"	"Gm29333"	"Y"	36120848	36121543
"117"	"ENSMUSG00000101425"	"Gm29255"	"Y"	73436584	73439822
"118"	"ENSMUSG00000100698"	"Gm20902"	"Y"	73546804	73547499
"119"	"ENSMUSG00000099822"	"Gm28332"	"Y"	36228508	36231745
"120"	"ENSMUSG00000099547"	"Gm28678"	"Y"	73618131	73618826
"121"	"ENSMUSG00000101781"	"Gm28333"	"Y"	36263746	36267089
"122"	"ENSMUSG00000101271"	"Gm28334"	"Y"	36268499	36268813
"123"	"ENSMUSG00000099504"	"Gm28335"	"Y"	36305080	36305775
"124"	"ENSMUSG00000099782"	"Gm20903"	"Y"	73680584	73706755
"125"	"ENSMUSG00000101377"	"Gm28336"	"Y"	36346482	36346928
"126"	"ENSMUSG00000101038"	"Gm28272"	"Y"	73771842	73772537
"127"	"ENSMUSG00000101709"	"Gm28337"	"Y"	36366108	36390780
"128"	"ENSMUSG00000100604"	"Gm29256"	"Y"	73800413	73800724
"129"	"ENSMUSG00000099554"	"Gm28259"	"Y"	73837428	73840664
"130"	"ENSMUSG00000099814"	"Gm28338"	"Y"	36451056	36454295
"131"	"ENSMUSG00000101757"	"Gm28273"	"Y"	73948074	73948768
"132"	"ENSMUSG00000100179"	"Gm21715"	"Y"	74022734	74023427
"133"	"ENSMUSG00000101815"	"Gm29028"	"Y"	36785886	36789232
"134"	"ENSMUSG00000101538"	"Gm29029"	"Y"	36795121	36795816
"135"	"ENSMUSG00000100251"	"Gm29615"	"Y"	74089372	74090068
"136"	"ENSMUSG00000100983"	"Gm29030"	"Y"	36831137	36831751
"137"	"ENSMUSG00000101820"	"Gm29023"	"Y"	36840242	36844291
"138"	"ENSMUSG00000100283"	"Gm29024"	"Y"	36860659	36861354
"139"	"ENSMUSG00000099832"	"Gm29025"	"Y"	36891289	36894627
"140"	"ENSMUSG00000101246"	"Gm29026"	"Y"	36896033	36896347
"141"	"ENSMUSG00000101382"	"Gm28213"	"Y"	37026432	37027046
"142"	"ENSMUSG00000099967"	"Gm28212"	"Y"	37038156	37039696
"143"	"ENSMUSG00000101161"	"Gm21799"	"Y"	37055954	37056649
"144"	"ENSMUSG00000100705"	"Gm28227"	"Y"	37127875	37128570
"145"	"ENSMUSG00000101157"	"Gm20905"	"Y"	37188765	37214948
"146"	"ENSMUSG00000099712"	"Gm29411"	"Y"	37319397	37320092
"147"	"ENSMUSG00000099586"	"Gm28222"	"Y"	37356291	37356905
"148"	"ENSMUSG00000100066"	"Gm21835"	"Y"	37385825	37386520
"149"	"ENSMUSG00000101879"	"Gm28820"	"Y"	37502673	37505910
"150"	"ENSMUSG00000099412"	"Gm28223"	"Y"	37539682	37539996
"151"	"ENSMUSG00000101831"	"Gm29412"	"Y"	37576237	37576932
"152"	"ENSMUSG00000100428"	"Gm29413"	"Y"	37637165	37661980
"153"	"ENSMUSG00000099601"	"Gm29671"	"Y"	37764182	37767528
"154"	"ENSMUSG00000101704"	"Gm21878"	"Y"	37773407	37774102
"155"	"ENSMUSG00000101349"	"Gm28162"	"Y"	37810308	37810922
"156"	"ENSMUSG00000100140"	"Gm28789"	"Y"	75145003	75148242
"157"	"ENSMUSG00000101710"	"Gm20922"	"Y"	37839981	37840676
"158"	"ENSMUSG00000094575"	"Gm20738"	"Y"	37913156	37915490
"159"	"ENSMUSG00000101146"	"Gm20814"	"Y"	75207125	75233327
"160"	"ENSMUSG00000099499"	"Gm28787"	"Y"	75293574	75294269
"161"	"ENSMUSG00000101213"	"Gm28788"	"Y"	75330518	75330892
"162"	"ENSMUSG00000100952"	"Gm28545"	"Y"	38022387	38025625
"163"	"ENSMUSG00000099730"	"Gm28547"	"Y"	38057568	38060910
"164"	"ENSMUSG00000099896"	"Gm29278"	"Y"	75367611	75370847
"165"	"ENSMUSG00000101873"	"Gm28546"	"Y"	38098866	38099480
"166"	"ENSMUSG00000101980"	"Gm21922"	"Y"	75476964	75477641
"167"	"ENSMUSG00000100203"	"Gm21924"	"Y"	38128360	38129055
"168"	"ENSMUSG00000100669"	"Gm21111"	"Y"	75550972	75551667
"169"	"ENSMUSG00000099460"	"Gm21735"	"Y"	38203093	38203788
"170"	"ENSMUSG00000100260"	"Gm28608"	"Y"	75580166	75580780
"171"	"ENSMUSG00000100675"	"Gm28607"	"Y"	75616961	75617299
"172"	"ENSMUSG00000099807"	"Gm28771"	"Y"	38295430	38298668
"173"	"ENSMUSG00000101435"	"Gm28772"	"Y"	38331844	38335184
"174"	"ENSMUSG00000100544"	"Gm28606"	"Y"	75664495	75667734
"175"	"ENSMUSG00000100883"	"Gm28773"	"Y"	38369983	38370678
"176"	"ENSMUSG00000100902"	"Gm20850"	"Y"	75726591	75752818
"177"	"ENSMUSG00000100892"	"Gm20897"	"Y"	38431406	38457583
"178"	"ENSMUSG00000100673"	"Gm29574"	"Y"	75813201	75813896
"179"	"ENSMUSG00000101050"	"Gm28774"	"Y"	38516408	38519645
"180"	"ENSMUSG00000102025"	"Gm29575"	"Y"	75850183	75850497
"181"	"ENSMUSG00000099793"	"Gm28775"	"Y"	38551562	38554905
"182"	"ENSMUSG00000100699"	"Gm21765"	"Y"	38561027	38561722
"183"	"ENSMUSG00000096438"	"Gapdh-ps15"	"Y"	38575128	38576129
"184"	"ENSMUSG00000099351"	"Gm28776"	"Y"	38599181	38599795
"185"	"ENSMUSG00000099489"	"Gm21787"	"Y"	38628676	38629368
"186"	"ENSMUSG00000100845"	"Gm28770"	"Y"	38702993	38703685
"187"	"ENSMUSG00000096275"	"Gm20901"	"Y"	38730279	38754706
"188"	"ENSMUSG00000101771"	"Gm28176"	"Y"	38827980	38830343
"189"	"ENSMUSG00000100719"	"Gm28786"	"Y"	38852738	38853263
"190"	"ENSMUSG00000101740"	"Gm29360"	"Y"	38890449	38892728
"191"	"ENSMUSG00000100050"	"Gm28121"	"Y"	76653539	76653877
"192"	"ENSMUSG00000101292"	"Gm29496"	"Y"	39033735	39034427
"193"	"ENSMUSG00000100588"	"Gm29497"	"Y"	39114193	39117425
"194"	"ENSMUSG00000102050"	"Gm29499"	"Y"	39299890	39300375
"195"	"ENSMUSG00000101238"	"Gm28123"	"Y"	76860450	76861145
"196"	"ENSMUSG00000100406"	"Gm28120"	"Y"	76897545	76897859
"197"	"ENSMUSG00000099526"	"Gm29313"	"Y"	76934608	76937847
"198"	"ENSMUSG00000101040"	"Gm29498"	"Y"	39367166	39369445
"199"	"ENSMUSG00000100560"	"Gm21180"	"Y"	77085302	77085997
"200"	"ENSMUSG00000101272"	"Gm36782"	"Y"	39406588	39407085
"201"	"ENSMUSG00000101478"	"Gm20859"	"Y"	77159999	77160691
"202"	"ENSMUSG00000101633"	"Gm29839"	"Y"	39459472	39459969
"203"	"ENSMUSG00000101283"	"Gm29314"	"Y"	77189641	77190255
"204"	"ENSMUSG00000101727"	"Gm29495"	"Y"	39545114	39569544
"205"	"ENSMUSG00000100907"	"Gm29310"	"Y"	77226496	77227191
"206"	"ENSMUSG00000101960"	"Gm29311"	"Y"	77268515	77271301
"207"	"ENSMUSG00000095179"	"Gm21638"	"Y"	77330268	77356520
"208"	"ENSMUSG00000101917"	"Gm29312"	"Y"	77417625	77418320
"209"	"ENSMUSG00000101205"	"Gm29308"	"Y"	77454469	77454783
"210"	"ENSMUSG00000100526"	"Gm29309"	"Y"	77456192	77459535
"211"	"ENSMUSG00000101785"	"Gm28702"	"Y"	77488086	77493212
"212"	"ENSMUSG00000100149"	"Gm28701"	"Y"	77490182	77492406
"213"	"ENSMUSG00000101602"	"Gm28700"	"Y"	77507468	77518394
"214"	"ENSMUSG00000099953"	"Gm28699"	"Y"	77578588	77579283
"215"	"ENSMUSG00000102032"	"Gm28705"	"Y"	77615500	77615814
"216"	"ENSMUSG00000100823"	"Gm28704"	"Y"	77617224	77620570
"217"	"ENSMUSG00000099416"	"Gm28540"	"Y"	77654946	77658183
"218"	"ENSMUSG00000099606"	"Gm28537"	"Y"	77828310	77828624
"219"	"ENSMUSG00000100063"	"Gm28538"	"Y"	77830030	77833373
"220"	"ENSMUSG00000100722"	"Gm29569"	"Y"	77865363	77868601
"221"	"ENSMUSG00000096898"	"Gm20867"	"Y"	77972142	77974473
"222"	"ENSMUSG00000101017"	"Gm21658"	"Y"	78046288	78046983
"223"	"ENSMUSG00000100366"	"Gm29568"	"Y"	78063273	78064814
"224"	"ENSMUSG00000100888"	"Gm29567"	"Y"	78075953	78076567
"225"	"ENSMUSG00000100433"	"Gm21198"	"Y"	78112774	78113469
"226"	"ENSMUSG00000102111"	"Gm29566"	"Y"	78158357	78168774
"227"	"ENSMUSG00000101060"	"Gm29565"	"Y"	78162121	78165360
"228"	"ENSMUSG00000099497"	"Gm29147"	"Y"	78334835	78335149
"229"	"ENSMUSG00000099479"	"Gm29146"	"Y"	78336563	78339904
"230"	"ENSMUSG00000101115"	"Gm28664"	"Y"	78368078	78378548
"231"	"ENSMUSG00000100849"	"Gm28663"	"Y"	78371897	78375134
"232"	"ENSMUSG00000101194"	"Gm29149"	"Y"	78482527	78483222
"233"	"ENSMUSG00000099742"	"Gm29148"	"Y"	78557175	78557510
"234"	"ENSMUSG00000100999"	"Gm29145"	"Y"	78584670	78585125
"235"	"ENSMUSG00000101562"	"Gm29144"	"Y"	78620665	78621003
"236"	"ENSMUSG00000101321"	"Gm28817"	"Y"	78643795	78668759
"237"	"ENSMUSG00000100328"	"Gm28816"	"Y"	78662528	78665322
"238"	"ENSMUSG00000101098"	"Gm20808"	"Y"	78772615	78773307
"239"	"ENSMUSG00000094739"	"Gm20806"	"Y"	78846990	78849325
"240"	"ENSMUSG00000102071"	"Gm28815"	"Y"	78876751	78877365
"241"	"ENSMUSG00000100741"	"Gm28814"	"Y"	78913583	78914278
"242"	"ENSMUSG00000101804"	"Gm28813"	"Y"	78939065	78942302
"243"	"ENSMUSG00000099849"	"Gm29274"	"Y"	42414903	42418140
"244"	"ENSMUSG00000100822"	"Gm29275"	"Y"	42442989	42446223
"245"	"ENSMUSG00000101471"	"Gm29276"	"Y"	42505428	42537595
"246"	"ENSMUSG00000101455"	"Gm21805"	"Y"	42690697	42691392
"247"	"ENSMUSG00000099700"	"Gm29645"	"Y"	42726150	42726677
"248"	"ENSMUSG00000101811"	"Gm28312"	"Y"	42788498	42789025
"249"	"ENSMUSG00000099833"	"Gm29165"	"Y"	42887096	42911495
"250"	"ENSMUSG00000101259"	"Gm21242"	"Y"	79676144	79676839
"251"	"ENSMUSG00000101247"	"Gm29042"	"Y"	42930494	42930940
"252"	"ENSMUSG00000100610"	"Gm29031"	"Y"	79705984	79706597
"253"	"ENSMUSG00000099408"	"Gm28311"	"Y"	43002855	43006089
"254"	"ENSMUSG00000101197"	"Gm29032"	"Y"	79742790	79743486
"255"	"ENSMUSG00000101207"	"Gm28310"	"Y"	43031744	43034976
"256"	"ENSMUSG00000102016"	"Gm29606"	"Y"	79784719	79787514
"257"	"ENSMUSG00000099542"	"Gm28504"	"Y"	43096647	43127121
"258"	"ENSMUSG00000101340"	"Gm29607"	"Y"	79894869	79895564
"259"	"ENSMUSG00000100107"	"Gm28567"	"Y"	43326667	43327359
"260"	"ENSMUSG00000099972"	"Gm21248"	"Y"	79969655	79970350
"261"	"ENSMUSG00000100051"	"Gm28568"	"Y"	43406479	43409712
"262"	"ENSMUSG00000101733"	"Gm29189"	"Y"	79996888	79997502
"263"	"ENSMUSG00000099977"	"Gm29286"	"Y"	43758445	43760724
"264"	"ENSMUSG00000099415"	"Gm29285"	"Y"	43797976	43798503
"265"	"ENSMUSG00000100953"	"Gm28280"	"Y"	43820606	43822969
"266"	"ENSMUSG00000096332"	"Gm21241"	"Y"	43907507	43933594
"267"	"ENSMUSG00000099734"	"Gm28159"	"Y"	80231342	80232037
"268"	"ENSMUSG00000100693"	"Gm28278"	"Y"	44109952	44113186
"269"	"ENSMUSG00000100723"	"Gm28160"	"Y"	80250712	80251026
"270"	"ENSMUSG00000101981"	"Gm28157"	"Y"	80252441	80255782
"271"	"ENSMUSG00000100148"	"Gm28158"	"Y"	80399838	80400533
"272"	"ENSMUSG00000100756"	"Gm21257"	"Y"	80474503	80475198
"273"	"ENSMUSG00000099805"	"Gm28161"	"Y"	80504296	80504909
"274"	"ENSMUSG00000101070"	"Gm28695"	"Y"	80541092	80541788
"275"	"ENSMUSG00000100286"	"Gm28696"	"Y"	80547675	80551023
"276"	"ENSMUSG00000101833"	"Gm20791"	"Y"	80693080	80693772
"277"	"ENSMUSG00000102081"	"Gm28886"	"Y"	44303647	44304174
"278"	"ENSMUSG00000101688"	"Gm20841"	"Y"	80767608	80768303
"279"	"ENSMUSG00000099679"	"Gm28899"	"Y"	80797230	80797844
"280"	"ENSMUSG00000102031"	"Gm29426"	"Y"	44341258	44343536
"281"	"ENSMUSG00000100408"	"Gm28885"	"Y"	44409592	44410154
"282"	"ENSMUSG00000100991"	"Gm21856"	"Y"	44713325	44714020
"283"	"ENSMUSG00000102116"	"Gm28887"	"Y"	44773755	44782728
"284"	"ENSMUSG00000101637"	"Gm28896"	"Y"	81024661	81025356
"285"	"ENSMUSG00000101649"	"Gm29444"	"Y"	44776352	44779241
"286"	"ENSMUSG00000100245"	"Gm21282"	"Y"	81215067	81215762
"287"	"ENSMUSG00000095353"	"Gm21783"	"Y"	44935913	44936608
"288"	"ENSMUSG00000100469"	"Gm28895"	"Y"	81296249	81296944
"289"	"ENSMUSG00000101802"	"Gm29445"	"Y"	44999347	45002579
"290"	"ENSMUSG00000100821"	"Gm28894"	"Y"	81325768	81326382
"291"	"ENSMUSG00000101058"	"Gm21829"	"Y"	81362608	81363303
"292"	"ENSMUSG00000099790"	"Gm28457"	"Y"	45181085	45184316
"293"	"ENSMUSG00000100187"	"Gm29324"	"Y"	81407170	81410407
"294"	"ENSMUSG00000101594"	"Gm21779"	"Y"	45340981	45341676
"295"	"ENSMUSG00000101962"	"Gm28741"	"Y"	81630241	81633478
"296"	"ENSMUSG00000100978"	"Gm20912"	"Y"	81735879	81736571
"297"	"ENSMUSG00000100519"	"Gm20801"	"Y"	81810559	81811236
"298"	"ENSMUSG00000100598"	"Gm28742"	"Y"	81843048	81843662
"299"	"ENSMUSG00000100011"	"Gm28458"	"Y"	45404305	45407537
"300"	"ENSMUSG00000100591"	"Gm21919"	"Y"	81879866	81880561
"301"	"ENSMUSG00000100879"	"Gm28743"	"Y"	81886681	81890029
"302"	"ENSMUSG00000100974"	"Gm28459"	"Y"	45708643	45709338
"303"	"ENSMUSG00000101675"	"Gm28461"	"Y"	45744076	45744603
"304"	"ENSMUSG00000099480"	"Gm28124"	"Y"	81921959	81925197
"305"	"ENSMUSG00000101914"	"Gm21790"	"Y"	82030498	82031190
"306"	"ENSMUSG00000099834"	"Gm21728"	"Y"	82105080	82105774
"307"	"ENSMUSG00000100499"	"Gm28460"	"Y"	45767025	45769385
"308"	"ENSMUSG00000100298"	"Gm28126"	"Y"	82121972	82123514
"309"	"ENSMUSG00000100256"	"Gm28851"	"Y"	45806463	45806990
"310"	"ENSMUSG00000101201"	"Gm28125"	"Y"	82137211	82137825
"311"	"ENSMUSG00000101003"	"Gm28456"	"Y"	45829380	45831743
"312"	"ENSMUSG00000100438"	"Gm21825"	"Y"	82174006	82174701
"313"	"ENSMUSG00000100640"	"Gm29073"	"Y"	45905005	45929408
"314"	"ENSMUSG00000100628"	"Gm29648"	"Y"	46352193	46353290
"315"	"ENSMUSG00000100989"	"Gm29647"	"Y"	46487189	46517631
"316"	"ENSMUSG00000100268"	"Gm29468"	"Y"	82327836	82328531
"317"	"ENSMUSG00000100003"	"Gm29646"	"Y"	46579374	46582607
"318"	"ENSMUSG00000101343"	"Gm29469"	"Y"	82356385	82356699
"319"	"ENSMUSG00000101907"	"Gm29472"	"Y"	82358114	82361457
"320"	"ENSMUSG00000099462"	"Gm28549"	"Y"	46608269	46611503
"321"	"ENSMUSG00000100035"	"Gm29473"	"Y"	82393458	82396694
"322"	"ENSMUSG00000101434"	"Gm29211"	"Y"	46697502	46721894
"323"	"ENSMUSG00000101072"	"Gm29470"	"Y"	82504227	82504922
"324"	"ENSMUSG00000100061"	"Gm29212"	"Y"	46732385	46732999
"325"	"ENSMUSG00000100994"	"Gm21333"	"Y"	82578781	82579476
"326"	"ENSMUSG00000100611"	"Gm21247"	"Y"	46762008	46762700
"327"	"ENSMUSG00000100861"	"Gm29382"	"Y"	82608559	82609173
"328"	"ENSMUSG00000100317"	"Gm28224"	"Y"	82645176	82645872
"329"	"ENSMUSG00000101138"	"Gm29210"	"Y"	46852250	46854613
"330"	"ENSMUSG00000101329"	"Gm28226"	"Y"	82651759	82655107
"331"	"ENSMUSG00000100871"	"Gm29213"	"Y"	46877022	46877549
"332"	"ENSMUSG00000100532"	"Gm28225"	"Y"	82686996	82690235
"333"	"ENSMUSG00000100716"	"Gm28550"	"Y"	46914639	46916999
"334"	"ENSMUSG00000099374"	"Gm21344"	"Y"	82798320	82799012
"335"	"ENSMUSG00000100325"	"Gm28604"	"Y"	46939447	46939974
"336"	"ENSMUSG00000100882"	"Gm20849"	"Y"	82872602	82873297
"337"	"ENSMUSG00000100048"	"Gm28603"	"Y"	46974892	46975587
"338"	"ENSMUSG00000101772"	"Gm28829"	"Y"	82902255	82902869
"339"	"ENSMUSG00000099667"	"Gm21901"	"Y"	82939007	82939702
"340"	"ENSMUSG00000099789"	"Gm28565"	"Y"	47256776	47259054
"341"	"ENSMUSG00000099593"	"Gm28566"	"Y"	47296338	47296865
"342"	"ENSMUSG00000101109"	"Gm28697"	"Y"	47319171	47321535
"343"	"ENSMUSG00000101582"	"Gm28828"	"Y"	83128900	83129595
"344"	"ENSMUSG00000101541"	"Gm28554"	"Y"	47362549	47363076
"345"	"ENSMUSG00000101273"	"Gm28831"	"Y"	83165909	83166223
"346"	"ENSMUSG00000101508"	"Gm28832"	"Y"	83202996	83206233
"347"	"ENSMUSG00000100339"	"Gm21864"	"Y"	83299153	83299848
"348"	"ENSMUSG00000099546"	"Gm21802"	"Y"	83372955	83373650
"349"	"ENSMUSG00000101884"	"Gm28658"	"Y"	83402101	83402715
"350"	"ENSMUSG00000100906"	"Gm29238"	"Y"	83438978	83439672
"351"	"ENSMUSG00000100852"	"Gm29056"	"Y"	47549381	47552613
"352"	"ENSMUSG00000100092"	"Gm21088"	"Y"	83548836	83562753
"353"	"ENSMUSG00000100284"	"Gm29239"	"Y"	83628709	83629404
"354"	"ENSMUSG00000099532"	"Gm29098"	"Y"	47578323	47581558
"355"	"ENSMUSG00002075613"	"Gm54343"	"Y"	83686611	83686718
"356"	"ENSMUSG00000118466"	"Gm21170"	"Y"	47671271	47689642
